src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,capture_time,avg_packet_size,packets_per_second,syn_count,ack_count,fin_count,rst_count,syn_ratio,bytes_per_second
192.168.1.1,192.168.1.100,53,60930,17,2,298,0.014472007751464844,2026-06-27 10:40:11,149.0,138.19782537067545,0,0,0,0,0.0,20591.475980230643
192.168.1.1,192.168.1.100,53,65338,17,2,573,0.017110824584960938,2026-06-27 10:40:11,286.5,116.88507412774496,0,0,0,0,0.0,33487.57373759893
192.168.1.100,54.192.26.193,51726,80,6,15,10436,0.08708000183105469,2026-06-27 10:40:12,695.7333333333333,172.2553937137225,2,14,0,0,0.13333333333333333,119843.81925309385
192.168.1.100,99.86.147.37,64852,443,17,2,2484,0.001,2026-06-27 10:40:12,1242.0,2000.0,0,0,0,0,0.0,2484000.0
192.168.1.1,192.168.1.100,53,64134,17,2,321,0.05664515495300293,2026-06-27 10:40:12,160.5,35.30752103440003,0,0,0,0,0.0,5666.857126021205
192.168.1.1,192.168.1.100,53,56657,17,2,532,0.05158591270446777,2026-06-27 10:40:12,266.0,38.77027457976494,0,0,0,0,0.0,10312.893038217473
192.168.1.100,32.185.1.69,50191,443,6,12,7281,0.6710214614868164,2026-06-27 10:40:12,606.75,17.883183606990734,2,11,0,0,0.16666666666666666,10850.621653541628
169.150.207.216,192.168.1.100,443,57300,6,18,9292,0.532142162322998,2026-06-27 10:40:13,516.2222222222222,33.825547521781246,2,17,0,0,0.1111111111111111,17461.499309577295
172.67.168.245,192.168.1.100,443,64297,6,3,475,0.09235119819641113,2026-06-27 10:40:12,158.33333333333334,32.48468951772175,0,3,0,0,0.0,5143.409173639277
192.168.1.100,32.185.1.69,56842,443,6,4,1754,0.3079097270965576,2026-06-27 10:40:12,438.5,12.990820516513391,2,3,0,0,0.5,5696.474796491122
192.168.1.100,44.224.93.14,62078,443,6,11,4805,0.30070924758911133,2026-06-27 10:40:44,436.8181818181818,36.580185305875204,0,11,0,0,0.0,15978.89003588458
192.168.1.100,44.224.93.14,57580,443,6,4,495,0.04227590560913086,2026-06-27 10:40:44,123.75,94.61654203182982,0,4,0,0,0.0,11708.797076438941
